FILE: acculturation.XPT
------------------------------------------------------------
SHAPE: (11372, 5)
COLUMNS: ['SEQN', 'ACD010A', 'ACD010B', 'ACD010C', 'ACD040']
SEQN present: YES

Missing %:
SEQN        0.00
ACD010A    24.38
ACD010B    99.77
ACD010C    93.94
ACD040     79.56

Full DataFrame Preview:
           SEQN  ACD010A  ACD010B  ACD010C  ACD040
130    130512.0      1.0      NaN      NaN     NaN
131    130513.0      1.0      NaN      NaN     NaN
132    130514.0      1.0      NaN      NaN     NaN
133    130515.0      NaN      NaN      NaN     2.0
134    130516.0      1.0      NaN      NaN     NaN
135    130517.0      1.0      NaN      9.0     NaN
136    130518.0      1.0      NaN      NaN     NaN
137    130519.0      1.0      NaN      NaN     NaN
138    130520.0      1.0      NaN      NaN     NaN
139    130521.0      NaN      NaN      NaN     5.0
140    130522.0      1.0      NaN      NaN     NaN
141    130523.0      1.0      NaN      NaN     NaN
142    130524.0      1.0      NaN      NaN     NaN
143    130525.0      1.0      NaN      NaN     NaN
144    130526.0      1.0      NaN      NaN     NaN
145    130527.0      1.0      NaN      NaN     NaN
146    130528.0      1.0      NaN      NaN     NaN
147    130529.0      1.0      NaN      NaN     NaN
148    130530.0      1.0      NaN      NaN     NaN
149    130531.0      1.0      NaN      NaN     NaN
150    130532.0      1.0      NaN      9.0     NaN
151    130533.0      1.0      NaN      NaN     NaN
152    130534.0      1.0      NaN      NaN     NaN
153    130535.0      NaN      NaN      9.0     NaN
154    130536.0      NaN      NaN      NaN     3.0
155    130537.0      1.0      NaN      NaN     NaN
156    130538.0      1.0      NaN      NaN     NaN
157    130539.0      1.0      NaN      9.0     NaN
158    130540.0      1.0      NaN      NaN     NaN
159    130541.0      NaN      NaN      9.0     NaN
160    130542.0      NaN      NaN      NaN     3.0
161    130543.0      NaN      NaN      NaN     3.0
162    130544.0      1.0      NaN      NaN     NaN
163    130545.0      1.0      NaN      NaN     NaN
164    130546.0      1.0      NaN      NaN     NaN
165    130547.0      1.0      NaN      NaN     NaN
166    130549.0      NaN      NaN      NaN     4.0
167    130550.0      1.0      NaN      NaN     NaN
168    130552.0      1.0      NaN      NaN     NaN
169    130553.0      1.0      NaN      NaN     NaN
170    130554.0      1.0      NaN      NaN     NaN
171    130555.0      1.0      NaN      NaN     NaN
172    130556.0      1.0      NaN      NaN     NaN
173    130557.0      1.0      NaN      NaN     NaN
174    130558.0      1.0      NaN      NaN     NaN
175    130559.0      1.0      NaN      NaN     NaN
176    130560.0      NaN      NaN      NaN     4.0
177    130561.0      1.0      NaN      NaN     NaN
178    130562.0      NaN      NaN      NaN     1.0
179    130563.0      NaN      NaN      NaN     4.0
180    130565.0      1.0      NaN      NaN     NaN
181    130566.0      1.0      NaN      NaN     NaN
182    130567.0      1.0      NaN      NaN     NaN
183    130568.0      NaN      NaN      NaN     5.0
184    130569.0      NaN      NaN      NaN     1.0
185    130570.0      NaN      NaN      NaN     1.0
186    130571.0      1.0      NaN      NaN     NaN
187    130572.0      NaN      NaN      9.0     NaN
188    130573.0      NaN      NaN      9.0     NaN
189    130574.0      NaN      NaN      NaN     3.0
190    130575.0      1.0      NaN      NaN     NaN
191    130576.0      NaN      NaN      NaN     2.0
192    130577.0      1.0      NaN      NaN     NaN
193    130578.0      1.0      NaN      NaN     NaN
