FILE: occupation.XPT
------------------------------------------------------------
SHAPE: (8501, 6)
COLUMNS: ['SEQN', 'OCD150', 'OCQ180', 'OCQ210', 'OCQ215', 'OCQ383']
SEQN present: YES

Missing %:
SEQN       0.00
OCD150     0.19
OCQ180    50.04
OCQ210    83.05
OCQ215    46.96
OCQ383    57.49

Full DataFrame Preview:
          SEQN  OCD150   OCQ180  OCQ210  OCQ215  OCQ383
110   130527.0     4.0      NaN     NaN     NaN     3.0
111   130528.0     3.0      NaN     NaN     NaN     NaN
112   130530.0     2.0      NaN     2.0     5.0     NaN
113   130533.0     4.0      NaN     NaN     NaN     4.0
114   130537.0     4.0      NaN     NaN     NaN     3.0
115   130538.0     1.0     50.0     NaN     5.0     NaN
116   130540.0     4.0      NaN     NaN     NaN     4.0
117   130541.0     3.0      NaN     NaN     NaN     NaN
118   130542.0     1.0     22.0     2.0     5.0     NaN
119   130544.0     1.0     58.0     NaN     5.0     NaN
120   130545.0     1.0     56.0     NaN     5.0     NaN
121   130546.0     4.0      NaN     NaN     NaN     7.0
122   130547.0     4.0      NaN     NaN     NaN     4.0
123   130549.0     1.0     80.0     NaN     7.0     NaN
124   130550.0     1.0     45.0     NaN     7.0     NaN
125   130552.0     1.0     32.0     2.0     5.0     NaN
126   130553.0     1.0     40.0     NaN     5.0     NaN
127   130554.0     4.0      NaN     NaN     NaN     3.0
128   130555.0     1.0     50.0     NaN     5.0     NaN
129   130557.0     4.0      NaN     NaN     NaN     3.0
130   130558.0     4.0      NaN     NaN     NaN     3.0
131   130559.0     1.0     40.0     NaN     5.0     NaN
132   130560.0     1.0     40.0     NaN     5.0     NaN
133   130562.0     4.0      NaN     NaN     NaN     4.0
134   130563.0     1.0     35.0     NaN     6.0     NaN
135   130566.0     4.0      NaN     NaN     NaN     3.0
136   130567.0     1.0     40.0     NaN     5.0     NaN
137   130568.0     4.0      NaN     NaN     NaN     3.0
138   130569.0     4.0      NaN     NaN     NaN     1.0
139   130570.0     3.0      NaN     NaN     NaN     NaN
140   130571.0     4.0      NaN     NaN     NaN     3.0
141   130572.0     1.0     42.0     NaN     7.0     NaN
142   130573.0     4.0      NaN     NaN     NaN     3.0
143   130574.0     3.0      NaN     NaN     NaN     NaN
144   130576.0     3.0      NaN     NaN     NaN     NaN
145   130577.0     1.0     40.0     NaN     6.0     NaN
146   130578.0     1.0     40.0     NaN     5.0     NaN
147   130579.0     4.0      NaN     NaN     NaN     3.0
148   130580.0     3.0      NaN     NaN     NaN     NaN
149   130582.0     1.0     60.0     NaN     7.0     NaN
150   130585.0     1.0     60.0     NaN     6.0     NaN
151   130587.0     2.0      NaN     1.0     3.0     NaN
152   130588.0     4.0      NaN     NaN     NaN     1.0
153   130589.0     4.0      NaN     NaN     NaN     4.0
154   130590.0     4.0      NaN     NaN     NaN     3.0
155   130591.0     4.0      NaN     NaN     NaN     2.0
156   130592.0     2.0      NaN     1.0     6.0     NaN
157   130593.0     4.0      NaN     NaN     NaN     3.0
158   130595.0     1.0     40.0     NaN     5.0     NaN
159   130596.0     4.0      NaN     NaN     NaN     1.0
160   130597.0     1.0     56.0     NaN     6.0     NaN
161   130598.0     1.0     40.0     NaN     5.0     NaN
162   130599.0     1.0     40.0     NaN     6.0     NaN
163   130600.0     1.0     30.0     2.0     4.0     NaN
164   130601.0     2.0      NaN     1.0     5.0     NaN
165   130603.0     4.0      NaN     NaN     NaN     3.0
166   130604.0     4.0      NaN     NaN     NaN     4.0
167   130606.0     4.0      NaN     NaN     NaN     1.0
168   130607.0     4.0      NaN     NaN     NaN     4.0
169   130609.0     1.0     40.0     NaN     5.0     NaN
170   130610.0     4.0      NaN     NaN     NaN     2.0
171   130611.0     4.0      NaN     NaN     NaN     3.0
172   130612.0     1.0     40.0     NaN     5.0     NaN
173   130615.0     4.0      NaN     NaN     NaN     2.0
174   130616.0     1.0     40.0     NaN     5.0     NaN
175   130617.0     1.0     50.0     NaN     5.0     NaN
176   130618.0     1.0     55.0     NaN     6.0     NaN
177   130619.0     1.0     12.0     2.0     5.0     NaN
178   130620.0     4.0      NaN     NaN     NaN     3.0
179   130621.0     1.0     50.0     NaN     5.0     NaN
180   130623.0     1.0     11.0     2.0     4.0     NaN
