participant_id,Days_Physically_Active_60min,Hours_TV_Videos_Per_Day,participant_id_outlier,Days_Physically_Active_60min_outlier,Hours_TV_Videos_Per_Day_outlier
130998.0,3.0,2.0,False,False,False
130999.0,,1.0,False,False,False
131009.0,,5.0,False,False,False
131015.0,3.0,2.0,False,False,False
131018.0,4.0,3.0,False,False,False
131022.0,,6.0,False,False,False
131029.0,,2.0,False,False,False
131040.0,,3.0,False,False,False
131043.0,,1.0,False,False,False
131047.0,5.0,3.0,False,False,False
131049.0,6.0,,False,False,False
131064.0,5.397605346934028e-79,1.0,False,False,False
131068.0,5.0,1.0,False,False,False
131069.0,,4.0,False,False,False
131072.0,3.0,2.0,False,False,False
131080.0,,2.0,False,False,False
131081.0,,1.0,False,False,False
131086.0,5.0,5.0,False,False,False
131087.0,4.0,1.0,False,False,False
131089.0,4.0,6.0,False,False,False
131096.0,,,False,False,False
131101.0,,5.397605346934028e-79,False,False,False
131103.0,2.0,2.0,False,False,False
131104.0,6.0,1.0,False,False,False
131105.0,,1.0,False,False,False
131110.0,6.0,8.0,False,False,False
131111.0,,,False,False,False
131113.0,2.0,6.0,False,False,False
131123.0,5.397605346934028e-79,3.0,False,False,False
131125.0,2.0,5.0,False,False,False
131128.0,,4.0,False,False,False
131133.0,5.0,2.0,False,False,False
131138.0,5.0,4.0,False,False,False
131140.0,,4.0,False,False,False
131142.0,,,False,False,False
131145.0,2.0,2.0,False,False,False
131146.0,,3.0,False,False,False
131151.0,,5.397605346934028e-79,False,False,False
131154.0,,2.0,False,False,False
131162.0,,1.0,False,False,False
131165.0,2.0,3.0,False,False,False
131166.0,,1.0,False,False,False
131168.0,4.0,6.0,False,False,False
131171.0,5.0,2.0,False,False,False
131173.0,,2.0,False,False,False
131174.0,,5.397605346934028e-79,False,False,False
131175.0,5.0,2.0,False,False,False
131176.0,,1.0,False,False,False
131179.0,,2.0,False,False,False
131182.0,5.397605346934028e-79,5.0,False,False,False
131184.0,,1.0,False,False,False
131186.0,5.397605346934028e-79,1.0,False,False,False
131189.0,5.0,5.0,False,False,False
131190.0,4.0,5.0,False,False,False
