participant_id,Type_Work_Last_Week,Hours_Worked_Last_Week,Days_Worked_Per_Week,Reason_Not_Worked_Last_Week,participant_id_outlier,Type_Work_Last_Week_outlier,Hours_Worked_Last_Week_outlier,Days_Worked_Per_Week_outlier,Reason_Not_Worked_Last_Week_outlier
130541.0,3.0,,,,False,False,False,False,False
130542.0,1.0,22.0,5.0,,False,False,False,False,False
130544.0,1.0,58.0,5.0,,False,False,False,False,False
130545.0,1.0,56.0,5.0,,False,False,False,False,False
130546.0,4.0,,,,False,False,False,False,False
130547.0,4.0,,,4.0,False,False,False,False,True
130549.0,1.0,80.0,,,False,False,True,False,False
130550.0,1.0,45.0,,,False,False,False,False,False
130552.0,1.0,32.0,5.0,,False,False,False,False,False
130553.0,1.0,40.0,5.0,,False,False,False,False,False
130554.0,4.0,,,3.0,False,False,False,False,False
130555.0,1.0,50.0,5.0,,False,False,False,False,False
130557.0,4.0,,,3.0,False,False,False,False,False
130558.0,4.0,,,3.0,False,False,False,False,False
130559.0,1.0,40.0,5.0,,False,False,False,False,False
130560.0,1.0,40.0,5.0,,False,False,False,False,False
130562.0,4.0,,,4.0,False,False,False,False,True
130563.0,1.0,35.0,6.0,,False,False,False,True,False
130566.0,4.0,,,3.0,False,False,False,False,False
130567.0,1.0,40.0,5.0,,False,False,False,False,False
130568.0,4.0,,,3.0,False,False,False,False,False
130569.0,4.0,,,1.0,False,False,False,False,True
130570.0,3.0,,,,False,False,False,False,False
130571.0,4.0,,,3.0,False,False,False,False,False
130572.0,1.0,42.0,,,False,False,False,False,False
130573.0,4.0,,,3.0,False,False,False,False,False
130574.0,3.0,,,,False,False,False,False,False
130576.0,3.0,,,,False,False,False,False,False
130577.0,1.0,40.0,6.0,,False,False,False,True,False
130578.0,1.0,40.0,5.0,,False,False,False,False,False
130579.0,4.0,,,3.0,False,False,False,False,False
130580.0,3.0,,,,False,False,False,False,False
130582.0,1.0,60.0,,,False,False,False,False,False
130585.0,1.0,60.0,6.0,,False,False,False,True,False
130587.0,2.0,,3.0,,False,False,False,True,False
130588.0,4.0,,,1.0,False,False,False,False,True
130589.0,4.0,,,4.0,False,False,False,False,True
130590.0,4.0,,,3.0,False,False,False,False,False
130591.0,4.0,,,2.0,False,False,False,False,True
130592.0,2.0,,6.0,,False,False,False,True,False
130593.0,4.0,,,3.0,False,False,False,False,False
130595.0,1.0,40.0,5.0,,False,False,False,False,False
130596.0,4.0,,,1.0,False,False,False,False,True
130597.0,1.0,56.0,6.0,,False,False,False,True,False
130598.0,1.0,40.0,5.0,,False,False,False,False,False
130599.0,1.0,40.0,6.0,,False,False,False,True,False
130600.0,1.0,30.0,4.0,,False,False,False,True,False
130601.0,2.0,,5.0,,False,False,False,False,False
130603.0,4.0,,,3.0,False,False,False,False,False
130604.0,4.0,,,4.0,False,False,False,False,True
130606.0,4.0,,,1.0,False,False,False,False,True
130607.0,4.0,,,4.0,False,False,False,False,True
130609.0,1.0,40.0,5.0,,False,False,False,False,False
130610.0,4.0,,,2.0,False,False,False,False,True
130611.0,4.0,,,3.0,False,False,False,False,False
130612.0,1.0,40.0,5.0,,False,False,False,False,False
130615.0,4.0,,,2.0,False,False,False,False,True
130616.0,1.0,40.0,5.0,,False,False,False,False,False
130617.0,1.0,50.0,5.0,,False,False,False,False,False
130618.0,1.0,55.0,6.0,,False,False,False,True,False
130619.0,1.0,12.0,5.0,,False,False,True,False,False
130620.0,4.0,,,3.0,False,False,False,False,False
130621.0,1.0,50.0,5.0,,False,False,False,False,False
130623.0,1.0,11.0,4.0,,False,False,True,True,False
130626.0,4.0,,,3.0,False,False,False,False,False
130627.0,4.0,,,3.0,False,False,False,False,False
130628.0,1.0,40.0,5.0,,False,False,False,False,False
130629.0,4.0,,,3.0,False,False,False,False,False
130630.0,4.0,,,2.0,False,False,False,False,True
130631.0,1.0,40.0,5.0,,False,False,False,False,False
130633.0,1.0,56.0,6.0,,False,False,False,True,False
130634.0,1.0,34.0,5.0,,False,False,False,False,False
130636.0,1.0,45.0,5.0,,False,False,False,False,False
130637.0,1.0,80.0,5.0,,False,False,True,False,False
130638.0,4.0,,,2.0,False,False,False,False,True
130640.0,1.0,60.0,,,False,False,False,False,False
130642.0,1.0,45.0,5.0,,False,False,False,False,False
130643.0,4.0,,,3.0,False,False,False,False,False
130644.0,1.0,45.0,5.0,,False,False,False,False,False
130645.0,1.0,50.0,5.0,,False,False,False,False,False
130646.0,4.0,,,3.0,False,False,False,False,False
130647.0,4.0,,,4.0,False,False,False,False,True
130649.0,1.0,45.0,5.0,,False,False,False,False,False
130651.0,4.0,,,3.0,False,False,False,False,False
130652.0,2.0,,6.0,,False,False,False,True,False
130654.0,4.0,,,3.0,False,False,False,False,False
130655.0,1.0,30.0,4.0,,False,False,False,True,False
130656.0,4.0,,,4.0,False,False,False,False,True
130658.0,4.0,,,3.0,False,False,False,False,False
130659.0,1.0,40.0,5.0,,False,False,False,False,False
130661.0,1.0,10.0,2.0,,False,False,True,True,False
130662.0,4.0,,,4.0,False,False,False,False,True
130663.0,4.0,,,3.0,False,False,False,False,False
130664.0,1.0,63.0,,,False,False,False,False,False
130665.0,4.0,,,4.0,False,False,False,False,True
130666.0,1.0,40.0,5.0,,False,False,False,False,False
130667.0,1.0,50.0,5.0,,False,False,False,False,False
130668.0,4.0,,,1.0,False,False,False,False,True
130669.0,4.0,,,3.0,False,False,False,False,False
130670.0,4.0,,,3.0,False,False,False,False,False
130671.0,3.0,,,,False,False,False,False,False
130674.0,1.0,40.0,6.0,,False,False,False,True,False
130675.0,1.0,80.0,6.0,,False,False,True,True,False
130676.0,4.0,,,2.0,False,False,False,False,True
130678.0,1.0,45.0,5.0,,False,False,False,False,False
130681.0,1.0,45.0,5.0,,False,False,False,False,False
130683.0,1.0,40.0,5.0,,False,False,False,False,False
130684.0,1.0,36.0,4.0,,False,False,False,True,False
130686.0,4.0,,,4.0,False,False,False,False,True
130687.0,4.0,,,3.0,False,False,False,False,False
130688.0,4.0,,,3.0,False,False,False,False,False
130690.0,1.0,57.0,5.0,,False,False,False,False,False
130691.0,1.0,40.0,5.0,,False,False,False,False,False
130692.0,1.0,43.0,5.0,,False,False,False,False,False
130694.0,3.0,,,,False,False,False,False,False
130697.0,1.0,52.0,5.0,,False,False,False,False,False
130701.0,1.0,70.0,,,False,False,True,False,False
130703.0,4.0,,,4.0,False,False,False,False,True
130704.0,4.0,,,3.0,False,False,False,False,False
130705.0,4.0,,,3.0,False,False,False,False,False
130707.0,1.0,50.0,5.0,,False,False,False,False,False
130708.0,4.0,,,3.0,False,False,False,False,False
130710.0,4.0,,,3.0,False,False,False,False,False
130711.0,1.0,35.0,5.0,,False,False,False,False,False
130712.0,3.0,,,,False,False,False,False,False
130713.0,4.0,,,3.0,False,False,False,False,False
130715.0,1.0,40.0,5.0,,False,False,False,False,False
130717.0,4.0,,,3.0,False,False,False,False,False
130718.0,4.0,,,4.0,False,False,False,False,True
130719.0,4.0,,,4.0,False,False,False,False,True
130720.0,1.0,10.0,4.0,,False,False,True,True,False
130722.0,1.0,30.0,5.0,,False,False,False,False,False
130723.0,1.0,5.0,3.0,,False,False,True,True,False
130724.0,4.0,,,3.0,False,False,False,False,False
130726.0,1.0,99999.0,5.0,,False,False,True,False,False
130729.0,1.0,40.0,5.0,,False,False,False,False,False
130730.0,4.0,,,3.0,False,False,False,False,False
130733.0,4.0,,,3.0,False,False,False,False,False
130734.0,1.0,50.0,6.0,,False,False,False,True,False
130738.0,4.0,,,3.0,False,False,False,False,False
130739.0,1.0,45.0,5.0,,False,False,False,False,False
130741.0,1.0,20.0,5.0,,False,False,False,False,False
130742.0,1.0,50.0,5.0,,False,False,False,False,False
130743.0,4.0,,,3.0,False,False,False,False,False
130744.0,1.0,40.0,5.0,,False,False,False,False,False
130745.0,1.0,40.0,6.0,,False,False,False,True,False
130746.0,1.0,30.0,2.0,,False,False,False,True,False
130747.0,2.0,,,,False,False,False,False,False
130748.0,4.0,,,3.0,False,False,False,False,False
130749.0,2.0,,4.0,,False,False,False,True,False
130750.0,4.0,,,3.0,False,False,False,False,False
130752.0,4.0,,,4.0,False,False,False,False,True
130753.0,1.0,80.0,,,False,False,True,False,False
130754.0,4.0,,,,False,False,False,False,False
130759.0,1.0,20.0,5.0,,False,False,False,False,False
130760.0,1.0,30.0,4.0,,False,False,False,True,False
130761.0,1.0,35.0,6.0,,False,False,False,True,False
130762.0,1.0,40.0,5.0,,False,False,False,False,False
130764.0,1.0,10.0,3.0,,False,False,True,True,False
130766.0,4.0,,,4.0,False,False,False,False,True
130767.0,4.0,,,3.0,False,False,False,False,False
130768.0,4.0,,,3.0,False,False,False,False,False
130769.0,1.0,24.0,5.0,,False,False,False,False,False
130771.0,1.0,32.0,5.0,,False,False,False,False,False
130774.0,4.0,,,4.0,False,False,False,False,True
130775.0,1.0,30.0,4.0,,False,False,False,True,False
130776.0,1.0,5.0,4.0,,False,False,True,True,False
130777.0,4.0,,,5.0,False,False,False,False,True
130779.0,1.0,38.0,5.0,,False,False,False,False,False
130780.0,1.0,32.0,5.0,,False,False,False,False,False
130781.0,1.0,31.0,3.0,,False,False,False,True,False
130782.0,1.0,45.0,6.0,,False,False,False,True,False
130785.0,1.0,40.0,5.0,,False,False,False,False,False
130786.0,4.0,,,3.0,False,False,False,False,False
130787.0,4.0,,,3.0,False,False,False,False,False
130788.0,1.0,70.0,5.0,,False,False,True,False,False
130791.0,1.0,50.0,6.0,,False,False,False,True,False
130793.0,1.0,30.0,5.0,,False,False,False,False,False
130796.0,1.0,40.0,5.0,,False,False,False,False,False
130797.0,4.0,,,3.0,False,False,False,False,False
130799.0,4.0,,,1.0,False,False,False,False,True
130800.0,1.0,45.0,,,False,False,False,False,False
130801.0,4.0,,,4.0,False,False,False,False,True
130802.0,4.0,,,1.0,False,False,False,False,True
